Date	Price	Open	High	Low	Change
Feb 73	7.520	7.520	7.520	7.520	-6.00%
Mar 73	7.550	7.550	7.550	7.550	0.40%
Apr 73	7.530	7.530	7.530	7.530	-0.26%
May 73	7.390	7.390	7.390	7.390	-1.86%
Jun 73	7.300	7.300	7.300	7.300	-1.22%
Jul 73	7.490	7.490	7.490	7.490	2.60%
Aug 73	7.580	7.580	7.580	7.580	1.20%
Sep 73	7.750	7.750	7.750	7.750	2.24%
Oct 73	7.690	7.690	7.690	7.690	-0.77%
Nov 73	8.060	8.060	8.060	8.060	4.81%
Dec 73	8.160	8.160	8.160	8.160	1.24%
Jan 74	8.550	8.550	8.550	8.550	4.78%
Feb 74	8.160	8.160	8.160	8.160	-4.56%
Mar 74	7.810	7.810	7.810	7.810	-4.29%
Apr 74	7.810	7.810	7.810	7.810	0.00%
May 74	7.870	7.870	7.870	7.870	0.77%
Jun 74	7.870	7.870	7.870	7.870	0.00%
Jul 74	7.870	7.870	7.870	7.870	0.00%
Aug 74	8.130	8.130	8.130	8.130	3.30%
Sep 74	8.060	8.060	8.060	8.060	-0.86%
Oct 74	8.060	8.060	8.060	8.060	0.00%
Nov 74	8.060	8.060	8.060	8.060	0.00%
Dec 74	8.130	8.130	8.130	8.130	0.87%
Jan 75	8.130	8.130	8.130	8.130	0.00%
Feb 75	7.750	7.750	7.750	7.750	-4.67%
Mar 75	7.750	7.750	7.750	7.750	0.00%
Apr 75	8.000	8.000	8.000	8.000	3.23%
May 75	8.100	8.100	8.100	8.100	1.25%
Jun 75	8.400	8.400	8.400	8.400	3.70%
Jul 75	8.510	8.510	8.510	8.510	1.31%
Aug 75	8.930	8.930	8.930	8.930	4.94%
Sep 75	8.940	8.940	8.940	8.940	0.11%
Oct 75	8.810	8.810	8.810	8.810	-1.45%
Nov 75	9.090	9.090	9.090	9.090	3.18%
Dec 75	8.970	8.970	8.970	8.970	-1.32%
Jan 76	8.910	8.910	8.910	8.910	-0.67%
Feb 76	8.930	8.930	8.930	8.930	0.22%
Mar 76	8.970	8.970	8.970	8.970	0.45%
Apr 76	8.970	8.970	8.970	8.970	0.00%
May 76	9.300	9.300	9.300	9.300	3.68%
Jun 76	9.010	9.010	9.010	9.010	-3.12%
Jul 76	8.970	8.970	8.970	8.970	-0.44%
Aug 76	9.010	9.010	9.010	9.010	0.45%
Sep 76	8.850	8.850	8.850	8.850	-1.78%
Oct 76	8.970	8.970	8.970	8.970	1.36%
Nov 76	8.930	8.930	8.930	8.930	-0.45%
Dec 76	8.930	8.930	8.930	8.930	0.00%
Jan 77	8.810	8.810	8.810	8.810	-1.34%
Feb 77	8.870	8.870	8.870	8.870	0.68%
Mar 77	8.820	8.820	8.820	8.820	-0.56%
Apr 77	8.850	8.850	8.850	8.850	0.34%
May 77	8.830	8.830	8.830	8.830	-0.23%
Jun 77	8.880	8.880	8.880	8.880	0.57%
Jul 77	8.730	8.730	8.730	8.730	-1.69%
Aug 77	8.730	8.730	8.730	8.730	0.00%
Sep 77	8.730	8.730	8.730	8.730	0.00%
Oct 77	8.550	8.550	8.550	8.550	-2.06%
Nov 77	8.620	8.620	8.620	8.620	0.82%
Dec 77	8.230	8.230	8.230	8.230	-4.52%
Jan 78	8.100	8.100	8.100	8.100	-1.58%
Feb 78	8.130	8.130	8.130	8.130	0.37%
Mar 78	8.330	8.330	8.330	8.330	2.46%
Apr 78	8.580	8.580	8.580	8.580	3.00%
May 78	8.440	8.440	8.440	8.440	-1.63%
Jun 78	8.330	8.330	8.330	8.330	-1.30%
Jul 78	7.970	7.970	7.970	7.970	-4.32%
Aug 78	8.160	8.160	8.160	8.160	2.38%
Sep 78	7.970	7.970	7.970	7.970	-2.33%
Oct 78	7.660	7.660	7.660	7.660	-3.89%
Nov 78	8.330	8.330	8.330	8.330	8.75%
Dec 78	8.230	8.230	8.230	8.230	-1.20%
Jan 79	8.290	8.290	8.290	8.290	0.73%
Feb 79	8.220	8.220	8.220	8.220	-0.84%
Mar 79	8.160	8.160	8.160	8.160	-0.73%
Apr 79	8.370	8.370	8.370	8.370	2.57%
May 79	8.160	8.160	8.160	8.160	-2.51%
Jun 79	8.060	8.060	8.060	8.060	-1.23%
Jul 79	7.960	7.960	7.960	7.960	-1.24%
Aug 79	8.030	8.030	8.030	8.030	0.88%
Sep 79	8.070	8.070	8.070	8.070	0.50%
Oct 79	8.400	8.400	8.400	8.400	4.09%
Nov 79	8.030	8.030	8.030	8.030	-4.40%
Dec 79	8.000	8.000	8.000	8.000	-0.37%
Jan 80	8.060	8.060	8.060	8.060	0.75%
Feb 80	8.060	8.060	8.060	8.060	0.00%
Mar 80	8.220	8.220	8.220	8.220	1.99%
Apr 80	7.900	7.900	7.900	7.900	-3.89%
May 80	7.750	7.750	7.750	7.750	-1.90%
Jun 80	7.800	7.800	7.800	7.800	0.65%
Jul 80	7.800	7.800	7.800	7.800	0.00%
Aug 80	7.750	7.750	7.750	7.750	-0.64%
Sep 80	7.750	7.750	7.750	7.750	0.00%
Oct 80	7.720	7.720	7.720	7.720	-0.39%
Nov 80	7.820	7.820	7.820	7.820	1.30%
Dec 80	7.940	7.940	7.940	7.940	1.53%
Jan 81	8.100	8.100	8.100	8.100	2.02%
Feb 81	8.330	8.330	8.330	8.330	2.84%
Mar 81	8.270	8.270	8.270	8.270	-0.72%
Apr 81	8.330	8.330	8.330	8.330	0.73%
May 81	8.480	8.480	8.480	8.480	1.80%
Jun 81	8.620	8.620	8.620	8.620	1.65%
Jul 81	9.000	9.000	9.000	9.000	4.41%
Aug 81	9.050	9.050	9.050	9.050	0.56%
